customer_id,last_purchase,total_orders,total_revenue,total_quantity,age,gender,region,churn,tenure_months,recency,frequency,monetary,cluster,recency_scaled,frequency_scaled,monetary_scaled,segment_label
CUST00001,2023-07-18,2,187000,7,43,Female,South,0,50,166,2,187000.0,0,-0.1788733507219187,-1.085639551522346,-0.07740175835654015,Segment 2
CUST00002,2023-06-27,4,84300,11,22,Male,East,1,37,187,4,84300.0,0,0.023153321912819807,-0.03524456979856102,-0.8077265823114943,Segment 2
CUST00003,2023-02-06,4,130150,14,59,Female,North,0,18,328,4,130150.0,0,1.3796181238889211,-0.03524456979856102,-0.4816760158233283,Segment 2
CUST00004,2023-11-28,5,302000,12,29,Male,East,0,3,33,5,302000.0,1,-1.4583756107419292,0.48995292106333155,0.7403913746017825,Segment 1
CUST00005,2023-04-05,1,8000,1,53,Female,West,0,45,270,1,8000.0,0,0.8216396947072625,-1.6108370423842386,-1.3503145479177554,Segment 2
CUST00006,2023-06-21,5,176500,16,45,Female,North,0,23,193,5,176500.0,1,0.08087522837988795,0.48995292106333155,-0.1520698270179522,Segment 1
CUST00007,2023-01-06,3,450,8,44,Male,East,0,28,359,3,450.0,0,1.6778479739687733,-0.5604420606604535,-1.4040044449076279,Segment 2
CUST00008,2023-11-16,4,363200,15,28,Female,East,1,22,45,4,363200.0,1,-1.3429317978077928,-0.03524456979856102,1.1755995462282984,Segment 1
CUST00009,2023-08-10,4,234000,8,61,Female,South,0,52,143,4,234000.0,0,-0.4001406588456799,-0.03524456979856102,0.2568267394612091,Segment 2
CUST00010,2023-04-17,4,205500,9,36,Female,West,1,15,258,4,205500.0,0,0.7061958817731262,-0.03524456979856102,0.054156267380233485,Segment 2
CUST00011,2023-06-10,6,136550,19,46,Male,South,1,1,204,6,136550.0,1,0.18669872356951286,1.0151504119252241,-0.43616405016303905,Segment 1
CUST00012,2023-04-25,4,219400,12,34,Male,North,0,51,250,4,219400.0,0,0.6292333398170353,-0.03524456979856102,0.15300256779867422,Segment 2
CUST00013,2023-01-21,1,50,1,39,Male,South,0,35,344,1,50.0,0,1.5335432078011029,-1.6108370423842386,-1.406848942761396,Segment 2
CUST00014,2023-03-16,6,462000,17,55,Male,East,1,38,290,6,462000.0,1,1.0140460495974897,1.0151504119252241,1.8781905161090138,Segment 1
CUST00015,2023-03-09,2,326000,7,46,Female,West,0,40,297,2,326000.0,0,1.081388273809069,-1.085639551522346,0.9110612458278672,Segment 2
CUST00016,2023-10-28,2,45100,4,29,Female,East,0,9,64,2,45100.0,0,-1.160145760662077,-1.085639551522346,-1.086487371980766,Segment 2
CUST00017,2023-06-12,5,150400,17,63,Male,West,1,51,202,5,150400.0,0,0.16745808808049018,0.48995292106333155,-0.33767331197631933,Segment 2
CUST00018,2023-10-24,7,379150,24,57,Female,North,0,7,68,7,379150.0,1,-1.1216644896840318,1.5403479027871165,1.2890238981473006,Segment 1
CUST00019,2023-02-23,5,398300,20,37,Male,South,0,7,311,5,398300.0,1,1.216072722232228,0.48995292106333155,1.4252042328964474,Segment 1
CUST00020,2023-08-07,5,99500,14,36,Female,West,0,55,146,5,99500.0,0,-0.37127970561214585,0.48995292106333155,-0.6996356638683073,Segment 2
CUST00021,2023-04-18,6,238700,17,56,Female,West,0,37,257,6,238700.0,1,0.6965755640286148,1.0151504119252241,0.290249589242984,Segment 1
CUST00022,2023-07-28,8,254850,19,25,Female,South,1,41,156,8,254850.0,1,-0.27507652816703226,2.065545393649009,0.4050961900888702,Segment 1
CUST00023,2023-09-24,7,418300,25,61,Female,East,0,6,98,7,418300.0,1,-0.833054957348691,1.5403479027871165,1.5674291255848514,Segment 1
CUST00025,2023-03-22,3,386000,11,23,Male,West,1,24,284,3,386000.0,1,0.9563241431304215,-0.5604420606604535,1.337735923893079,Segment 1
CUST00026,2023-02-24,5,336700,21,51,Female,East,0,5,310,5,336700.0,1,1.2064524044877167,0.48995292106333155,0.9871515634161633,Segment 1
CUST00027,2023-01-19,5,189200,12,64,Female,South,0,25,346,5,189200.0,1,1.5527838432901255,0.48995292106333155,-0.06175702016081572,Segment 1
CUST00028,2023-09-03,5,281000,18,63,Male,South,0,50,119,5,281000.0,1,-0.6310282847139524,0.48995292106333155,0.5910552372789584,Segment 1
CUST00029,2023-02-21,5,312300,15,42,Female,North,1,38,313,5,312300.0,1,1.2353133577212507,0.48995292106333155,0.8136371943363104,Segment 1
CUST00030,2023-11-20,5,357000,16,62,Male,West,1,20,41,5,357000.0,1,-1.3814130687858384,0.48995292106333155,1.1315098294948933,Segment 1
CUST00031,2023-11-11,4,139150,14,41,Male,South,1,25,50,4,139150.0,0,-1.2948302090852362,-0.03524456979856102,-0.41767481411354657,Segment 2
CUST00032,2023-08-23,1,400,4,31,Female,East,0,10,130,1,400.0,0,-0.5252047895243276,-1.6108370423842386,-1.4043600071393487,Segment 2
CUST00033,2023-11-18,2,60500,9,59,Female,South,0,47,43,2,60500.0,0,-1.3621724332968157,-1.085639551522346,-0.9769742046106951,Segment 2
CUST00034,2023-05-22,6,412000,15,51,Male,South,0,42,223,6,412000.0,1,0.3694847607152287,1.0151504119252241,1.5226282843880041,Segment 1
CUST00035,2023-03-14,6,410300,22,57,Male,North,0,9,292,6,410300.0,1,1.0332866850865123,1.0151504119252241,1.5105391685094898,Segment 1
CUST00036,2023-06-07,2,100000,3,43,Male,West,1,46,207,2,100000.0,0,0.21555967680304694,-1.085639551522346,-0.6960800415510973,Segment 2
CUST00037,2023-12-12,5,468050,18,54,Female,North,0,25,19,5,468050.0,1,-1.5930600591650883,0.48995292106333155,1.921213546147256,Segment 1
CUST00038,2023-02-08,5,278000,12,23,Male,West,0,30,326,5,278000.0,1,1.3603774883998985,0.48995292106333155,0.5697215033756977,Segment 1
CUST00040,2023-11-27,5,151400,11,54,Female,East,0,33,34,5,151400.0,0,-1.448755292997418,0.48995292106333155,-0.33056206734189914,Segment 2
CUST00041,2023-09-21,2,32000,4,44,Male,East,1,29,101,2,32000.0,0,-0.804194004115157,-1.085639551522346,-1.1796446766916706,Segment 2
CUST00042,2023-11-18,4,199100,10,35,Female,East,0,11,43,4,199100.0,0,-1.3621724332968157,-0.03524456979856102,0.00864430171994423,Segment 2
CUST00043,2023-02-08,5,336000,16,38,Male,South,0,45,326,5,336000.0,1,1.3603774883998985,0.48995292106333155,0.9821736921720692,Segment 1
CUST00044,2023-02-06,2,99000,5,53,Male,North,0,49,328,2,99000.0,0,1.3796181238889211,-1.085639551522346,-0.7031912861855174,Segment 2
CUST00045,2023-04-05,8,649000,29,35,Male,West,0,1,270,8,649000.0,1,0.8216396947072625,2.065545393649009,3.2079932627455903,Segment 1
CUST00046,2023-04-08,1,163000,5,34,Male,West,0,8,267,1,163000.0,0,0.7927787414737284,-1.6108370423842386,-0.24807162958262485,Segment 2
CUST00047,2023-12-15,10,226850,25,60,Male,North,0,19,16,10,226850.0,1,-1.6219210123986223,3.1159403753727943,0.20598134032510468,Segment 1
CUST00048,2023-06-03,5,545000,20,45,Female,South,0,36,211,5,545000.0,1,0.2540409477810924,0.48995292106333155,2.46842382076589,Segment 1
CUST00049,2023-12-23,5,300250,16,47,Male,South,0,47,8,5,300250.0,1,-1.6988835543547132,0.48995292106333155,0.7279466964915471,Segment 1
CUST00050,2023-02-20,3,173000,12,23,Male,West,0,57,314,3,173000.0,0,1.244933675465762,-0.5604420606604535,-0.1769591832384229,Segment 2
CUST00051,2023-12-01,5,159400,21,64,Male,South,0,34,30,5,159400.0,1,-1.4872365639754632,0.48995292106333155,-0.2736721102665376,Segment 1
CUST00052,2023-03-22,3,237000,8,54,Female,West,0,53,284,3,237000.0,0,0.9563241431304215,-0.5604420606604535,0.2781604733644697,Segment 2
CUST00053,2023-06-05,5,255400,17,52,Female,West,0,16,209,5,255400.0,1,0.23480031229206966,0.48995292106333155,0.4090073746378013,Segment 1
CUST00054,2023-10-16,5,217300,16,45,Female,West,0,6,76,5,217300.0,1,-1.044701947727941,0.48995292106333155,0.1380689540663918,Segment 1
CUST00055,2023-10-01,3,136000,8,32,Female,South,0,14,91,3,136000.0,0,-0.9003971815602705,-0.5604420606604535,-0.4400752347119702,Segment 2
CUST00056,2023-02-26,2,60000,5,32,Female,West,1,32,308,2,60000.0,0,1.187211768998694,-1.085639551522346,-0.9805298269279051,Segment 2
CUST00057,2023-07-07,4,321000,12,41,Female,East,0,4,177,4,321000.0,1,-0.07304985553229376,-0.03524456979856102,0.8755050226557662,Segment 1
CUST00058,2023-02-27,4,18200,6,61,Female,North,0,15,307,4,18200.0,0,1.1775914512541827,-0.03524456979856102,-1.2777798526466693,Segment 2
CUST00059,2023-04-18,6,211400,16,40,Male,South,0,36,257,6,211400.0,1,0.6965755640286148,1.0151504119252241,0.09611261072331265,Segment 1
CUST00060,2023-03-11,4,149250,14,61,Male,North,0,52,295,4,149250.0,0,1.0621476383200463,-0.03524456979856102,-0.34585124330590256,Segment 2
CUST00061,2023-07-12,2,160000,8,32,Female,West,0,42,172,2,160000.0,0,-0.12115144425485055,-1.085639551522346,-0.26940536348588545,Segment 2
CUST00062,2023-03-08,3,215250,12,25,Female,North,0,29,298,3,215250.0,0,1.0910085915535805,-0.5604420606604535,0.12349090256583041,Segment 2
CUST00063,2023-01-09,3,117000,5,25,Male,South,0,26,356,3,117000.0,0,1.648987020735239,-0.5604420606604535,-0.5751888827659539,Segment 2
CUST00064,2023-05-25,7,422300,18,42,Female,East,0,9,220,7,422300.0,1,0.3406238074816946,1.5403479027871165,1.5958741041225322,Segment 1
CUST00065,2023-01-29,4,398000,15,54,Male,West,0,23,336,4,398000.0,1,1.456580665845012,-0.03524456979856102,1.4230708595061212,Segment 1
CUST00066,2023-08-12,3,74150,8,44,Female,East,0,48,141,3,74150.0,0,-0.4193812943347026,-0.5604420606604535,-0.8799057153508594,Segment 2
CUST00067,2023-01-02,5,281000,12,44,Male,West,0,2,363,5,281000.0,1,1.7163292449468186,0.48995292106333155,0.5910552372789584,Segment 1
CUST00068,2023-12-02,3,57000,4,19,Male,South,0,38,29,3,57000.0,0,-1.4968568817199746,-0.5604420606604535,-1.0018635608311657,Segment 2
CUST00069,2023-09-13,2,175000,6,39,Male,West,0,55,109,2,175000.0,0,-0.7272314621590661,-1.085639551522346,-0.1627366939695825,Segment 2
CUST00070,2023-08-10,3,42200,7,48,Male,North,1,22,143,3,42200.0,0,-0.4001406588456799,-0.5604420606604535,-1.1071099814205847,Segment 2
CUST00071,2023-02-04,4,81300,10,39,Female,North,0,39,330,4,81300.0,0,1.3988587593779438,-0.03524456979856102,-0.829060316214755,Segment 2
CUST00072,2023-04-28,4,384000,12,34,Male,West,0,44,247,4,384000.0,1,0.6003723865835012,-0.03524456979856102,1.3235134346242385,Segment 1
CUST00073,2023-03-31,2,87000,6,31,Male,East,0,49,275,2,87000.0,0,0.8697412834298193,-1.085639551522346,-0.7885262217985598,Segment 2
CUST00074,2023-05-23,4,227250,18,25,Female,North,1,53,222,4,227250.0,0,0.3598644429707173,-0.03524456979856102,0.20882583817887276,Segment 2
CUST00075,2023-04-04,4,215650,16,37,Male,North,0,11,271,4,215650.0,0,0.8312600124517738,-0.03524456979856102,0.12633540041959848,Segment 2
