sale_id,customer_id,sale_date,feedback_text,feedback_text_clean,sentiment,sentiment_vader,neg,neu,pos,compound,churn
S000001,CUST01553,2020-01-07,"Terrible experience, will not buy again.","Terrible experience, will not buy again.",Negative,Negative,0.383,0.617,0.0,-0.4767,1
S000002,CUST00161,2023-11-10,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,0
S000003,CUST00627,2022-07-04,Product quality could be better.,Product quality could be better.,Neutral,Positive,0.0,0.58,0.42,0.4404,0
S000004,CUST01291,2023-10-18,"Delivery was late, not happy.","Delivery was late, not happy.",Positive,Negative,0.428,0.572,0.0,-0.4585,0
S000005,CUST01456,2023-09-13,"Delivery was late, not happy.","Delivery was late, not happy.",Positive,Negative,0.428,0.572,0.0,-0.4585,0
S000006,CUST00634,2022-10-22,Product quality could be better.,Product quality could be better.,Neutral,Positive,0.0,0.58,0.42,0.4404,0
S000007,CUST01463,2022-05-07,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,0
S000008,CUST00235,2020-04-19,"Terrible experience, will not buy again.","Terrible experience, will not buy again.",Negative,Negative,0.383,0.617,0.0,-0.4767,1
S000009,CUST01822,2023-01-14,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,1
S000010,CUST01772,2022-05-16,"Delivery was late, not happy.","Delivery was late, not happy.",Positive,Negative,0.428,0.572,0.0,-0.4585,0
S000011,CUST00366,2020-06-26,Product quality could be better.,Product quality could be better.,Neutral,Positive,0.0,0.58,0.42,0.4404,0
S000012,CUST01896,2021-08-21,"Worth the price, happy with the purchase.","Worth the price, happy with the purchase.",Positive,Positive,0.0,0.472,0.528,0.6808,0
S000013,CUST00283,2022-03-12,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,1
S000014,CUST01895,2023-11-05,"Worth the price, happy with the purchase.","Worth the price, happy with the purchase.",Positive,Positive,0.0,0.472,0.528,0.6808,1
S000015,CUST00549,2020-02-28,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,0
S000016,CUST01921,2023-11-02,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,0
S000017,CUST01430,2022-10-31,"Met expectations, nothing special.","Met expectations, nothing special.",Neutral,Negative,0.429,0.571,0.0,-0.3089,0
S000018,CUST01020,2021-03-18,"Delivery was late, not happy.","Delivery was late, not happy.",Positive,Negative,0.428,0.572,0.0,-0.4585,0
S000019,CUST00379,2020-05-21,"Terrible experience, will not buy again.","Terrible experience, will not buy again.",Negative,Negative,0.383,0.617,0.0,-0.4767,0
S000020,CUST00391,2021-04-14,Easy to use and reliable.,Easy to use and reliable.,Neutral,Positive,0.0,0.58,0.42,0.4404,1
S000021,CUST00485,2020-12-23,Product quality could be better.,Product quality could be better.,Neutral,Positive,0.0,0.58,0.42,0.4404,1
S000022,CUST00055,2022-10-07,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,0
S000023,CUST00429,2020-08-28,Product quality could be better.,Product quality could be better.,Neutral,Positive,0.0,0.58,0.42,0.4404,0
S000024,CUST01842,2023-06-27,"Met expectations, nothing special.","Met expectations, nothing special.",Neutral,Negative,0.429,0.571,0.0,-0.3089,1
S000025,CUST01943,2022-08-20,Easy to use and reliable.,Easy to use and reliable.,Neutral,Positive,0.0,0.58,0.42,0.4404,0
S000026,CUST01649,2020-12-05,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,0
S000027,CUST01489,2023-06-09,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,0
S000028,CUST00350,2022-04-05,"Terrible experience, will not buy again.","Terrible experience, will not buy again.",Negative,Negative,0.383,0.617,0.0,-0.4767,0
S000029,CUST01285,2020-11-21,Too expensive for the features offered.,Too expensive for the features offered.,Negative,Neutral,0.0,1.0,0.0,0.0,1
S000030,CUST00067,2022-05-03,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,0
S000031,CUST00583,2021-01-27,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,0
S000032,CUST00797,2022-05-07,Too expensive for the features offered.,Too expensive for the features offered.,Negative,Neutral,0.0,1.0,0.0,0.0,0
S000033,CUST00901,2021-12-05,"Met expectations, nothing special.","Met expectations, nothing special.",Neutral,Negative,0.429,0.571,0.0,-0.3089,0
S000034,CUST00251,2022-11-12,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,0
S000035,CUST01642,2020-11-04,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,1
S000036,CUST00048,2020-05-31,"Met expectations, nothing special.","Met expectations, nothing special.",Neutral,Negative,0.429,0.571,0.0,-0.3089,0
S000037,CUST00004,2022-08-28,Highly recommend to others.,Highly recommend to others.,Positive,Positive,0.0,0.518,0.482,0.4201,0
S000038,CUST00972,2022-10-26,Easy to use and reliable.,Easy to use and reliable.,Neutral,Positive,0.0,0.58,0.42,0.4404,0
S000039,CUST01779,2020-05-30,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,1
S000040,CUST01345,2023-12-31,Excellent customer service.,Excellent customer service.,Positive,Positive,0.0,0.351,0.649,0.5719,0
S000041,CUST01664,2021-03-22,"Delivery was late, not happy.","Delivery was late, not happy.",Positive,Negative,0.428,0.572,0.0,-0.4585,0
S000042,CUST00266,2022-06-15,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,1
S000043,CUST01920,2020-05-08,"Terrible experience, will not buy again.","Terrible experience, will not buy again.",Negative,Negative,0.383,0.617,0.0,-0.4767,0
S000044,CUST01297,2021-04-04,"Met expectations, nothing special.","Met expectations, nothing special.",Neutral,Negative,0.429,0.571,0.0,-0.3089,0
S000045,CUST01930,2020-09-28,Too expensive for the features offered.,Too expensive for the features offered.,Negative,Neutral,0.0,1.0,0.0,0.0,0
S000046,CUST00986,2020-02-28,Product quality could be better.,Product quality could be better.,Neutral,Positive,0.0,0.58,0.42,0.4404,0
S000047,CUST01770,2021-04-09,"Met expectations, nothing special.","Met expectations, nothing special.",Neutral,Negative,0.429,0.571,0.0,-0.3089,0
S000048,CUST00589,2023-02-15,"Great product, very satisfied.","Great product, very satisfied.",Positive,Positive,0.0,0.218,0.782,0.8016,1
S000049,CUST01870,2023-01-09,"Delivery was late, not happy.","Delivery was late, not happy.",Positive,Negative,0.428,0.572,0.0,-0.4585,0
