customer_id,compound_mean,compound_median,compound_min,compound_max,neg_mean,neu_mean,pos_mean,churn,sentiment_last,sentiment_vader_last,compound_last,sent_share_negative,sent_share_neutral,sent_share_positive
CUST00001,0.28595,0.28595,0.0,0.5719,0.0,0.6755,0.3245,0,Positive,Positive,0.5719,0.5,0.0,0.5
CUST00002,0.051049999999999984,-0.009050000000000002,-0.4585,0.6808,0.214,0.5489999999999999,0.237,1,Positive,Negative,-0.4585,0.0,0.25,0.75
CUST00003,0.276875,0.50615,-0.4767,0.5719,0.09575,0.47475,0.4295,0,Positive,Positive,0.5719,0.25,0.25,0.5
CUST00004,0.30872,0.4201,-0.3089,0.5719,0.0858,0.5075999999999999,0.40659999999999996,0,Positive,Positive,0.4201,0.0,0.4,0.6
CUST00005,-0.4767,-0.4767,-0.4767,-0.4767,0.383,0.617,0.0,0,Negative,Negative,-0.4767,1.0,0.0,0.0
CUST00006,0.06949999999999999,0.4201,-0.4767,0.4404,0.1532,0.5824,0.2644,0,Negative,Negative,-0.4767,0.4,0.4,0.2
CUST00007,0.29893333333333333,0.5719,-0.4767,0.8016,0.12766666666666668,0.3953333333333333,0.47700000000000004,0,Positive,Positive,0.5719,0.3333333333333333,0.0,0.6666666666666666
CUST00008,0.5333749999999999,0.50615,0.4404,0.6808,0.0,0.49574999999999997,0.50425,1,Positive,Positive,0.5719,0.0,0.5,0.5
CUST00009,0.385325,0.43025,0.0,0.6808,0.0,0.6425,0.3575,0,Negative,Neutral,0.0,0.25,0.25,0.5
CUST00010,0.244,0.4404,-0.4767,0.5719,0.09575,0.532,0.37224999999999997,1,Positive,Positive,0.5719,0.25,0.5,0.25
CUST00011,0.3423833333333333,0.4404,-0.3089,0.8016,0.0715,0.5701666666666666,0.35833333333333334,1,Negative,Neutral,0.0,0.16666666666666666,0.5,0.3333333333333333
CUST00012,0.047599999999999976,0.047599999999999976,-0.4767,0.5719,0.1915,0.484,0.3245,0,Negative,Negative,-0.4767,0.5,0.0,0.5
CUST00013,-0.3089,-0.3089,-0.3089,-0.3089,0.429,0.571,0.0,0,Neutral,Negative,-0.3089,0.0,1.0,0.0
CUST00014,0.32085,0.43025,-0.4767,0.6808,0.06383333333333334,0.5475,0.38866666666666666,1,Neutral,Positive,0.4404,0.16666666666666666,0.3333333333333333,0.5
CUST00015,0.06575,0.06575,-0.3089,0.4404,0.2145,0.5754999999999999,0.21,0,Neutral,Positive,0.4404,0.0,1.0,0.0
CUST00016,-0.01815,-0.01815,-0.4767,0.4404,0.1915,0.5985,0.21,0,Negative,Negative,-0.4767,0.5,0.5,0.0
CUST00017,0.09579999999999997,0.4201,-0.4767,0.5719,0.1532,0.5366,0.3102,1,Positive,Positive,0.5719,0.4,0.2,0.4
CUST00018,0.30252857142857137,0.4404,-0.4585,0.5719,0.061142857142857145,0.5318571428571428,0.40700000000000003,0,Positive,Positive,0.5719,0.14285714285714285,0.14285714285714285,0.7142857142857143
CUST00019,0.42538,0.6808,-0.4767,0.8016,0.0766,0.4718,0.4516,0,Positive,Positive,0.6808,0.2,0.2,0.6
CUST00020,0.31145999999999996,0.5719,-0.3089,0.8016,0.1716,0.3858,0.4426,0,Positive,Positive,0.5719,0.0,0.4,0.6
CUST00021,0.19936666666666666,0.43025,-0.4585,0.6808,0.14266666666666666,0.5108333333333334,0.34650000000000003,0,Positive,Positive,0.5719,0.0,0.16666666666666666,0.8333333333333334
CUST00022,0.11638749999999998,0.06575,-0.4585,0.8016,0.214125,0.45675,0.329125,1,Positive,Positive,0.8016,0.0,0.25,0.75
CUST00023,-0.07495714285714286,-0.3089,-0.4585,0.4404,0.24499999999999997,0.6261428571428571,0.12885714285714284,0,Positive,Negative,-0.4585,0.14285714285714285,0.5714285714285714,0.2857142857142857
CUST00025,0.14076666666666668,0.4404,-0.4585,0.4404,0.14266666666666666,0.5773333333333333,0.27999999999999997,1,Neutral,Positive,0.4404,0.0,0.6666666666666666,0.3333333333333333
CUST00026,0.56498,0.8016,0.0,0.8016,0.0,0.4344,0.5656000000000001,0,Positive,Positive,0.8016,0.2,0.0,0.8
CUST00027,0.63724,0.6808,0.5719,0.6808,0.0,0.4236,0.5764,0,Positive,Positive,0.5719,0.0,0.0,1.0
CUST00028,0.057719999999999994,0.0,-0.4767,0.8016,0.1532,0.6064,0.2404,0,Negative,Negative,-0.4767,0.6,0.2,0.2
CUST00029,-0.02458,-0.3089,-0.4767,0.6808,0.248,0.5624,0.1896,1,Neutral,Positive,0.4404,0.2,0.4,0.4
CUST00030,0.42669999999999997,0.4404,0.0,0.6808,0.0,0.5965999999999999,0.4034,1,Positive,Positive,0.6808,0.2,0.4,0.4
CUST00031,0.331325,0.5606,-0.4767,0.6808,0.09575,0.53525,0.369,1,Positive,Positive,0.6808,0.25,0.25,0.5
CUST00032,0.4404,0.4404,0.4404,0.4404,0.0,0.58,0.42,0,Neutral,Positive,0.4404,0.0,1.0,0.0
CUST00033,0.05559999999999998,0.05559999999999998,-0.3089,0.4201,0.2145,0.5445,0.241,0,Neutral,Negative,-0.3089,0.0,0.5,0.5
CUST00034,0.14378333333333335,0.2202,-0.4585,0.4404,0.07133333333333333,0.7186666666666666,0.21,0,Negative,Neutral,0.0,0.3333333333333333,0.5,0.16666666666666666
CUST00035,0.1710333333333333,0.4201,-0.4767,0.6808,0.13516666666666666,0.5461666666666667,0.31866666666666665,0,Neutral,Positive,0.4404,0.16666666666666666,0.16666666666666666,0.6666666666666666
CUST00036,0.50615,0.50615,0.4404,0.5719,0.0,0.46549999999999997,0.5345,1,Neutral,Positive,0.4404,0.0,0.5,0.5
CUST00037,-0.011320000000000007,0.0,-0.4767,0.4201,0.0766,0.827,0.0964,0,Negative,Negative,-0.4767,0.8,0.0,0.2
